"","year","SupportSetting","Sector","Expenditure"
"96",2011,"U65 PHYSICAL DISABILITY","Voluntary Organisation Grants",30305
"97",2012,"U65 LEARNING DISABILITY","External",4174936
"98",2012,"U65 LEARNING DISABILITY","In House",1430341
"99",2012,"U65 LEARNING DISABILITY","Total",5642821
"100",2012,"U65 LEARNING DISABILITY","Voluntary Organisation Grants",37544
"101",2012,"U65 MENTAL HEALTH","External",739019
"102",2012,"U65 MENTAL HEALTH","In House",480727
"103",2012,"U65 MENTAL HEALTH","Total",1282814
"104",2012,"U65 MENTAL HEALTH","Voluntary Organisation Grants",63068
"105",2012,"U65 PHYSICAL DISABILITY","External",1224252
"106",2012,"U65 PHYSICAL DISABILITY","In House",454937
"107",2012,"U65 PHYSICAL DISABILITY","Total",1707385
"108",2012,"U65 PHYSICAL DISABILITY","Voluntary Organisation Grants",28196
"109",2013,"U65 LEARNING DISABILITY","External",4319374
"110",2013,"U65 LEARNING DISABILITY","In House",1300419
"111",2013,"U65 LEARNING DISABILITY","Total",5660220
"112",2013,"U65 LEARNING DISABILITY","Voluntary Organisation Grants",40427
"113",2013,"U65 MENTAL HEALTH","External",771277
"114",2013,"U65 MENTAL HEALTH","In House",444430
"115",2013,"U65 MENTAL HEALTH","Total",1275034
"116",2013,"U65 MENTAL HEALTH","Voluntary Organisation Grants",59327
"117",2013,"U65 PHYSICAL DISABILITY","External",1268972
"118",2013,"U65 PHYSICAL DISABILITY","In House",411081
"119",2013,"U65 PHYSICAL DISABILITY","Total",1708162
"120",2013,"U65 PHYSICAL DISABILITY","Voluntary Organisation Grants",28109
"121",2014,"U65 LEARNING DISABILITY","External",4508898
"122",2014,"U65 LEARNING DISABILITY","In House",1282203
"123",2014,"U65 LEARNING DISABILITY","Total",5826047
"124",2014,"U65 LEARNING DISABILITY","Voluntary Organisation Grants",34946
"125",2014,"U65 MENTAL HEALTH","External",810692
"126",2014,"U65 MENTAL HEALTH","In House",403266
"127",2014,"U65 MENTAL HEALTH","Total",1270449
"128",2014,"U65 MENTAL HEALTH","Voluntary Organisation Grants",56491
"129",2014,"U65 PHYSICAL DISABILITY","External",1317463
"130",2014,"U65 PHYSICAL DISABILITY","In House",405507
"131",2014,"U65 PHYSICAL DISABILITY","Total",1747648
"132",2014,"U65 PHYSICAL DISABILITY","Voluntary Organisation Grants",24678
