"","ownership","rating","N","total","percent","date","year"
"106","Third sector","Inadequate",2,556,0.359712230215827,2023-12-29,2023
"107","Third sector","Outstanding",24,556,4.31654676258993,2023-12-29,2023
"108","Third sector","Requires improvement",48,556,8.63309352517986,2023-12-29,2023
"109","For-profit","Good",5704,7138,79.9103390305408,2024-12-27,2024
"110","For-profit","Inadequate",41,7138,0.574390585598207,2024-12-27,2024
"111","For-profit","Outstanding",324,7138,4.53908657887363,2024-12-27,2024
"112","For-profit","Requires improvement",1069,7138,14.9761838049874,2024-12-27,2024
"113","Local Authority","Good",267,299,89.2976588628762,2024-12-27,2024
"114","Local Authority","Inadequate",0,299,0,2024-12-27,2024
"115","Local Authority","Outstanding",19,299,6.35451505016722,2024-12-27,2024
"116","Local Authority","Requires improvement",13,299,4.34782608695652,2024-12-27,2024
"117","Third sector","Good",453,526,86.1216730038023,2024-12-27,2024
"118","Third sector","Inadequate",3,526,0.570342205323194,2024-12-27,2024
"119","Third sector","Outstanding",24,526,4.56273764258555,2024-12-27,2024
"120","Third sector","Requires improvement",46,526,8.74524714828897,2024-12-27,2024
