"","ownership","rating","N","total","percent","date","year"
"75","For-profit","Outstanding",337,7409,4.54852206775543,2021-12-31,2021
"76","For-profit","Requires improvement",1330,7409,17.9511405047915,2021-12-31,2021
"77","Local Authority","Good",234,279,83.8709677419355,2021-12-31,2021
"78","Local Authority","Inadequate",0,279,0,2021-12-31,2021
"79","Local Authority","Outstanding",9,279,3.2258064516129,2021-12-31,2021
"80","Local Authority","Requires improvement",36,279,12.9032258064516,2021-12-31,2021
"81","Third sector","Good",760,906,83.8852097130243,2021-12-31,2021
"82","Third sector","Inadequate",9,906,0.993377483443709,2021-12-31,2021
"83","Third sector","Outstanding",35,906,3.86313465783664,2021-12-31,2021
"84","Third sector","Requires improvement",102,906,11.2582781456954,2021-12-31,2021
"85","For-profit","Good",5527,7424,74.4477370689655,2022-12-30,2022
"86","For-profit","Inadequate",107,7424,1.44127155172414,2022-12-30,2022
"87","For-profit","Outstanding",325,7424,4.37769396551724,2022-12-30,2022
"88","For-profit","Requires improvement",1465,7424,19.7332974137931,2022-12-30,2022
"89","Local Authority","Good",227,274,82.8467153284672,2022-12-30,2022
"90","Local Authority","Inadequate",2,274,0.72992700729927,2022-12-30,2022
"91","Local Authority","Outstanding",8,274,2.91970802919708,2022-12-30,2022
"92","Local Authority","Requires improvement",37,274,13.5036496350365,2022-12-30,2022
"93","Third sector","Good",698,862,80.9744779582367,2022-12-30,2022
"94","Third sector","Inadequate",12,862,1.39211136890951,2022-12-30,2022
"95","Third sector","Outstanding",32,862,3.7122969837587,2022-12-30,2022
"96","Third sector","Requires improvement",120,862,13.9211136890951,2022-12-30,2022
"97","For-profit","Good",5431,7260,74.8071625344352,2023-12-29,2023
"98","For-profit","Inadequate",79,7260,1.08815426997245,2023-12-29,2023
"99","For-profit","Outstanding",316,7260,4.35261707988981,2023-12-29,2023
"100","For-profit","Requires improvement",1434,7260,19.7520661157025,2023-12-29,2023
"101","Local Authority","Good",210,252,83.3333333333333,2023-12-29,2023
"102","Local Authority","Inadequate",2,252,0.793650793650794,2023-12-29,2023
"103","Local Authority","Outstanding",7,252,2.77777777777778,2023-12-29,2023
"104","Local Authority","Requires improvement",33,252,13.0952380952381,2023-12-29,2023
"105","Third sector","Good",663,807,82.1561338289963,2023-12-29,2023
"106","Third sector","Inadequate",7,807,0.867410161090459,2023-12-29,2023
"107","Third sector","Outstanding",31,807,3.84138785625774,2023-12-29,2023
"108","Third sector","Requires improvement",106,807,13.1350681536555,2023-12-29,2023
"109","For-profit","Good",5245,6989,75.0465016454428,2024-12-27,2024
"110","For-profit","Inadequate",75,6989,1.07311489483474,2024-12-27,2024
"111","For-profit","Outstanding",309,6989,4.42123336671913,2024-12-27,2024
"112","For-profit","Requires improvement",1360,6989,19.4591500930033,2024-12-27,2024
"113","Local Authority","Good",198,237,83.5443037974684,2024-12-27,2024
"114","Local Authority","Inadequate",2,237,0.843881856540084,2024-12-27,2024
"115","Local Authority","Outstanding",7,237,2.9535864978903,2024-12-27,2024
"116","Local Authority","Requires improvement",30,237,12.6582278481013,2024-12-27,2024
"117","Third sector","Good",592,729,81.2071330589849,2024-12-27,2024
"118","Third sector","Inadequate",3,729,0.411522633744856,2024-12-27,2024
"119","Third sector","Outstanding",30,729,4.11522633744856,2024-12-27,2024
"120","Third sector","Requires improvement",104,729,14.2661179698217,2024-12-27,2024
