"","year","SupportSetting","Sector","Expenditure"
"59",2018,"Nursing home placements","Total",1663023.592864
"60",2018,"Residential care home placements","External",3156168.044258
"61",2018,"Residential care home placements","In House",202350.52373553
"62",2018,"Residential care home placements","Total",3359708.933153
"63",2018,"Supported and other accommodation","External",87507.33083531
"64",2018,"Supported and other accommodation","In House",31678.19661705
"65",2018,"Supported and other accommodation","Total",119205.52745234
"66",2018,"Total over 65","External",7858075.6141789
"67",2018,"Total over 65","In House",827279.41076227
"68",2018,"Total over 65","Total",8697974.5072033
"69",2019,"Direct payments","External",552255.7115898
"70",2019,"Direct payments","In House",8024.44955562
"71",2019,"Direct payments","Total",560393.5811458
"72",2019,"Home care","External",1766336.223074
"73",2019,"Home care","In House",74120.67164212
"74",2019,"Home care","Total",1843115.514715
"75",2019,"Nursing home placements","External",1725674.4405078
"76",2019,"Nursing home placements","Total",1727571.4631678
"77",2019,"Residential care home placements","External",3247841.256437
"78",2019,"Residential care home placements","In House",214466.8173365
"79",2019,"Residential care home placements","Total",3462907.6636763
"80",2019,"Supported and other accommodation","External",98966.396632458
"81",2019,"Supported and other accommodation","In House",24842.08572588
"82",2019,"Supported and other accommodation","Total",124023.81235788
"83",2019,"Total over 65","External",8191915.74741
"84",2019,"Total over 65","In House",868858.99284532
"85",2019,"Total over 65","Total",9072332.7359517
"86",2020,"Direct payments","External",551298.5118852
"87",2020,"Direct payments","In House",10836.58422185
"88",2020,"Direct payments","Total",562161.5665443
"89",2020,"Home care","External",1888293.13541
"90",2020,"Home care","In House",70966.03722211
"91",2020,"Home care","Total",1962606.22563715
"92",2020,"Nursing home placements","External",1841839.8762825
"93",2020,"Nursing home placements","Total",1843745.8402345
"94",2020,"Residential care home placements","External",3466615.265012
"95",2020,"Residential care home placements","In House",227433.443293136
"96",2020,"Residential care home placements","Total",3694427.8387484
"97",2020,"Supported and other accommodation","External",97869.13951126
"98",2020,"Supported and other accommodation","In House",29598.3048797
"99",2020,"Supported and other accommodation","Total",127563.19652177
"100",2020,"Total over 65","External",8661085.46003211
"101",2020,"Total over 65","In House",879645.97040955
"102",2020,"Total over 65","Total",9553677.41455875
"103",2021,"Direct payments","External",552109.59567
"104",2021,"Direct payments","In House",10437.559260646
"105",2021,"Direct payments","Total",562564.545631
"106",2021,"Home care","External",2132557.02871
"107",2021,"Home care","In House",79595.84688403
"108",2021,"Home care","Total",2215165.949491
"109",2021,"Nursing home placements","External",1732625.4964278
"110",2021,"Nursing home placements","Total",1741116.8309438
"111",2021,"Residential care home placements","External",3508641.698497
"112",2021,"Residential care home placements","In House",255425.7365006
"113",2021,"Residential care home placements","Total",3768120.4533083
"114",2021,"Supported and other accommodation","External",101457.70767846
"115",2021,"Supported and other accommodation","In House",24108.0106988
"116",2021,"Supported and other accommodation","Total",125830.8960379
"117",2021,"Total over 65","External",9054099.3598638
"118",2021,"Total over 65","In House",927992.51146004
"119",2021,"Total over 65","Total",9996655.66805135
"120",2022,"Direct payments","External",576344
"121",2022,"Direct payments","In House",11338
"122",2022,"Direct payments","Total",587889
"123",2022,"Home care","External",2240857
"124",2022,"Home care","In House",72457
"125",2022,"Home care","Total",2314565
"126",2022,"Nursing home placements","External",1916358
"127",2022,"Nursing home placements","Total",1924768
"128",2022,"Residential care home placements","External",3641119
"129",2022,"Residential care home placements","In House",247613
"130",2022,"Residential care home placements","Total",3891105
"131",2022,"Supported and other accommodation","External",100445
"132",2022,"Supported and other accommodation","In House",18931
"133",2022,"Supported and other accommodation","Total",119674
"134",2022,"Total over 65","External",9630209
"135",2022,"Total over 65","In House",920683
"136",2022,"Total over 65","Total",10562393
"137",2023,"Direct payments","External",599401
"138",2023,"Direct payments","In House",7308
"139",2023,"Direct payments","Total",606833
"140",2023,"Home care","External",2366650
"141",2023,"Home care","In House",96522
"142",2023,"Home care","Total",2464995
"143",2023,"Nursing home placements","External",45101
"144",2023,"Nursing home placements","In House",2132768
"145",2023,"Nursing home placements","Total",2179310
"146",2023,"Residential care home placements","External",4014130
"147",2023,"Residential care home placements","In House",263566
"148",2023,"Residential care home placements","Total",4280440
"149",2023,"Supported and other accommodation","External",119595
"150",2023,"Supported and other accommodation","In House",17182
"151",2023,"Supported and other accommodation","Total",136778
"152",2023,"Total over 65","External",10539603
"153",2023,"Total over 65","In House",1063062
"154",2023,"Total over 65","Total",11616405
